,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
5079,149033,6.65,7.08,6.21,5.56,7.68,Tata Floating Rate Fund-Direct Plan-IDCW Periodic Dividend Reinvestment,0.598115272623275
5080,149034,6.64,7.07,6.22,5.55,7.7,Tata Floating Rate Fund-Direct Plan-IDCW Quarterly Dividend Reinvestment,0.5981613688961432
5081,149035,6.17,6.57,5.75,5.1,7.15,Tata Floating Rate Fund-Regular Plan-IDCW Monthly Dividend Reinvestment,0.5918999658630508
5082,149036,6.15,6.57,5.73,5.08,7.16,Tata Floating Rate Fund-Regular Plan-IDCW Periodic Dividend Reinvestment,0.5918999658630508
5083,149037,6.64,7.05,6.21,5.54,7.65,Tata Floating Rate Fund-Direct Plan-IDCW Monthly Dividend Reinvestment,0.5981613688961432
5084,149038,6.15,6.56,5.72,5.09,7.15,Tata Floating Rate Fund-Regular Plan-IDCW Quarterly Dividend Reinvestment,0.5918999658630508
5085,149039,14.95,26.19,4.63,-8.89,43.83,Navi Nifty 50 Index Fund-Direct Plan-Growth,13.940501294537585
5086,149040,14.52,26.37,4.37,-9.02,43.55,Navi Nifty 50 Index Fund-Regular Plan-Growth,13.940229786201947
5087,149041,20.38,31.89,9.76,-3.94,50.18,SBI Nifty Consumption ETF,13.517018317065528
5088,149042,4.75,5.69,3.8,2.22,6.96,SBI Fixed Maturity Plan (FMP) - Series 46 (1850 Days) - Regular Plan - IDCW Payout,1.355850145549096
5089,149043,4.9,5.8,3.9,2.41,7.07,SBI Fixed Maturity Plan (FMP) - Series 46 (1850 Days) - Direct Plan - Growth,1.3562642152965299
5090,149044,4.85,5.75,3.89,2.43,7.05,SBI Fixed Maturity Plan (FMP) - Series 46 (1850 Days) - Direct Plan - IDCW Payout,1.3562793550154668
5091,149045,4.71,5.63,3.74,2.19,6.93,SBI Fixed Maturity Plan (FMP) - Series 46 (1850 Days) - Regular Plan - Growth,1.355872941841733
5092,149046,5.39,6.58,4.18,2.44,8.22,Axis Floater Fund - Regular Plan - Quarterly IDCW,1.6623279649419542
